,0,1,2,3,4
" ""BEST LOGISTIK SERVICE""","('Tactical Missiles Corporation ', 65.4953475643131)","('Battalion Gvardeysky', 65.37851037851038)","('Aktsionernoe Obshchestvo Genbank', 64.30030345471522)","('Russian Direct Investment Fund', 64.0079365079365)","(""Donbas People's Militia"", 62.552423421988635)"
 MGPD Devstance №6,"(' Genbank', 60.71428571428571)","(' TPE', 59.72222222222222)","('P SOVCOMBANK', 59.72222222222222)","('P UAC', 59.583333333333336)","('P USC', 59.583333333333336)"
" ""DHL Express""","(""Donbas People's Militia"", 60.83662714097496)","(""Donbass People's Militia"", 60.35353535353535)","('Donetsk Republic', 59.60497835497836)","('P Sberbank (Public  Sberbank)', 59.4988344988345)","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 57.389190411578475)"
"C ""Hotel complex"" Astoria ""","('O ""VO Technopromexport""', 67.77087646652863)","('Tactical Missiles Corporation ', 65.29513021267145)","(' Almaz-Antey Corporation', 65.12681159420289)","('Almaz-Antey Defense Corporation', 63.96031374993507)","(' ""VO Technopromexport""', 63.89887762885474)"
" ""IMPRESS MEDIA""","(""Donbass People's Militia"", 62.863247863247864)","(""Mostotrest;  'Mostotrest'"", 62.37789987789988)","('Russia Bank', 61.34421134421135)","('Free Donbass', 61.20268620268621)","(' TPE', 60.68376068376068)"
" ""LIRA""","(' Integral', 70.83333333333334)","('Integral', 70.83333333333334)","('Mir Luganschine', 67.22222222222221)","(""C 'Interavtomatika'"", 64.2156862745098)","('Z Interautomatica', 64.2156862745098)"
"FSUE ""Security"" of the Federal Service for Troops","(""State Unitary Enterprise of the 'Republic of Crimea' 'Chernomorneftegaz'"", 70.21673917794068)","('Separate Artillery Brigade of the 1st Army Corps', 70.0806315433975)","(""State Unitary Enterprise of the 'Republic of Crimea' National Institute of Wine 'Magarach'"", 67.3181593270658)","(""State Unitary Enterprise of the 'Republic of Crimea' 'Sparkling Wine Plant Novy Svet'"", 66.91245450110698)","(""State Unitary Enterprise of the 'Republic of Crimea Production-Agrarian Union Massandra'"", 66.5429655286162)"
" ""Centurion""","(""C 'Interavtomatika'"", 68.22284469343293)","('Z Interautomatica', 68.22284469343293)","(' ""United Aircraft Corporation""', 64.50617283950618)","('United Aircraft Corporation', 64.50617283950618)","('Smert Battalion', 63.33333333333333)"
"O ""Auto Magazine of Combinary Waters""","(' Almaz-Antey Corporation', 66.3664596273292)","('Almaz-Antey Defense Corporation', 65.47652441060575)","(""International Union of Public Associations 'Great Don Army'"", 64.11834183159047)","(' ""United Aircraft Corporation""', 63.73897707231041)","('United Aircraft Corporation', 63.73897707231041)"
" ""ILSA""","('IS Bank', 75.35714285714286)","(' CB IS Bank', 68.33333333333333)","(' Zaliv Shipyard', 67.85714285714285)","('Kalmius Battalion', 66.17647058823529)","('Mir Luganschine', 65.0)"
" ""Sherp Autodiagnostik""","('Peace To Luhansk Region', 66.7391304347826)","(""'Federativnoye Gosudarstvo Novorossiya'"", 65.21727609962905)","(' ""United Shipbuilding Corporation""', 64.70430107526882)","('Russia Bank', 64.49494949494951)","('P Mostotrest', 64.44444444444444)"
" ""Floring""","(' \'Foreign Economic Association\' ""Technopromexport""', 60.79365079365079)","("" 'Foreign Economic Association' 'Technopromexport'"", 60.79365079365079)","("" Foreign Economic Association 'Technopromexport'"", 60.79365079365079)","('Otkritie', 60.11904761904761)","('Battalion Gvardeysky', 58.80952380952381)"
" ""Quantk-Network Technologies""","('Peace To Luhansk Region', 70.29126762154986)","('Aktsionernoe Obshchestvo Genbank', 67.19135802469137)","('Luganskiy Ekonomicheskiy Soyuz', 65.36673928830791)","('Luhansk Economic Union', 62.30559563892898)","('Almaz-Antey Defense Corporation', 61.94743130227002)"
"C ""SIBUR-PETROCON""","(' ""United Aircraft Corporation""', 67.87918871252204)","('United Aircraft Corporation', 67.87918871252204)","(' CB IS Bank', 66.48809523809524)","('Tactical Missiles Corporation ', 65.1027851458886)","('Rostec', 64.86111111111111)"
" ""VLEAT""","('Black Sea Bank Development and Reconstruction', 63.70370370370371)","('Death Battalion', 60.0)","("" 'Lenpromtransproyekt'"", 58.684210526315795)","('Z Interavtomatika (IA)', 58.333333333333336)","("" 'VO TPE'"", 57.777777777777786)"
" ""Repacklik""","('P UAC', 64.44444444444444)","('UAC', 62.96296296296296)","('Rostec', 61.11111111111111)","('P Sberbank (Public  Sberbank)', 60.71937321937322)","(' Genbank', 58.730158730158735)"
" ""AVS LOGISTIC""","('Somali Battalion', 63.888888888888886)","('Otkritie', 61.11111111111111)","(' Zaliv Shipyard', 59.92063492063493)","(""Federal State Budget Institution for Science and Research 'All-Russia National Scientific Research Institute for Wine Growing and Wine Making 'MAGARACH' Russian Academy of Sciences'"", 59.89984591679507)","('Russian National Commercial Bank', 58.19444444444445)"
 Orlov Roman Nikolaevich,"(""Azovsky likerovodochny zavod'"", 66.03404646882908)","('Oplot Battalion', 63.3816425120773)","('Vostok Battalion', 63.101119894598156)","('P SOVCOMBANK', 62.98309178743962)","('C VAD Aktsionernoe Obshchestvo VAD', 62.252533863787065)"
Avto-Service ,"("" 'VO TPE'"", 68.33333333333333)","('Rostec', 68.33333333333333)","('Aktsionernoe Obshchestvo Genbank', 66.25631313131312)","('Donetsk Republic', 65.97222222222221)","('C VAD Aktsionernoe Obshchestvo VAD', 62.55199049316696)"
" ""PM LOGISTIKS""","('P Mostotrest', 67.46031746031746)","("" 'Mostotrest'"", 63.88888888888889)","('Somali Battalion', 63.888888888888886)","('P USC', 61.66666666666667)","('Mostotrest, P', 61.111111111111114)"
" ""En Way Kay Auto Logistics","('Peace To Luhansk Region', 63.961352657004824)","('Army of the South-East', 62.727272727272734)","('Army of the Southeast', 62.317460317460316)","('Z Interautomatica', 61.7516339869281)","(""Prizrak Battalion 'Ghost' Brigade"", 61.45430107526882)"
" ""Stone Materials""","('Concern Almaz-Antey', 67.98511430090377)","('Smert Battalion', 67.77777777777777)","('P Mostotrest', 67.22222222222221)","('Z Interavtomatika (IA)', 67.02020202020202)","('Battalion Gvardeysky', 66.11111111111111)"
" ""Project Zebra""","('Rostec', 67.26495726495726)","(""P 'Chernomorneftegaz'"", 66.51821862348179)","('Promsvyazbank P', 62.075702075702075)","('Free Donbas', 61.34421134421135)","(' TPE', 60.68376068376068)"
"Branch №11 ""Gorenergosbyt"" P ""MOEK""","("" 'Lenpromtransproyekt'"", 65.2046783625731)","('Peace To Luhansk Region', 63.134413185564085)","('The Great Don Army', 62.22222222222222)","(""P 'Chernomorneftegaz'"", 61.54553049289891)","('Aktsionernoe Obshchestvo Genbank', 61.38888888888888)"
" ""Atlant""","('Almaz-Antey ', 78.63636363636364)","('Battalion Gvardeysky', 71.11111111111111)","('Peace To Luhansk Region', 68.3574879227053)","('UralVagonZavod', 65.07936507936508)","('Death Battalion', 64.44444444444444)"
" ""Industrial and Trading","('Industrial Savings Bank', 88.68247694334651)","('Industrialny Sberegatelny Bank', 85.72886762360447)","(' Integral', 67.42424242424242)","('Integral', 67.42424242424242)","(' ""United Aircraft Corporation""', 66.912177328844)"
" ""UK Sag""","('USC', 66.66666666666666)","('Luganskiy Ekonomicheskiy Soyuz', 62.22222222222222)","(""'Luganskaya Narodnaya Respublika' (LNR)"", 61.26984126984127)","('Industrialny Sberegatelny Bank', 60.0)","(' CB IS Bank', 60.0)"
" ""Directorate""","('Dobrolet', 62.651515151515156)","('Otkritie', 62.651515151515156)","(' Integral', 62.651515151515156)","('Integral', 62.651515151515156)","(' ""United Aircraft Corporation""', 62.64870931537598)"
" ""Agency"" Clothing for work ""","('Peace To Luhansk Region', 65.8958510940608)","(' Almaz-Antey Corporation', 64.16062801932367)","('Almaz-Antey Defense Corporation', 63.45930845456462)","('Bank Otkritie Financial Corporation P', 62.80425162004109)","('Cossack National Guard', 62.085137085137085)"
" ""Deloit and Tsush CIS""","('Fedosia Oil Products Supply Company', 66.09243697478992)","(""Donbass People's Militia"", 64.2063492063492)","('Peace To Luhansk Region', 63.584169453734674)","('Russian Direct Investment Fund', 63.19444444444445)","('C VAD Aktsionernoe Obshchestvo VAD', 63.18627450980392)"
" ""Project Installation""","('Smert Battalion', 71.66666666666667)","('Oplot Battalion', 71.66666666666667)","(""C 'Interavtomatika'"", 70.2337858220211)","('Death Battalion', 70.05050505050505)","('Sparta Battalion', 70.0)"
" ""Firm"" Ecology Plus ""","('Fedosia Oil Products Supply Company', 63.69747899159663)","('Luhansk Economic Union', 60.91305208952268)","('Luganskiy Ekonomicheskiy Soyuz', 57.88335847159377)","('Free Donbas', 57.72430184194891)","('First Crimean Insurance Company', 57.63900868265195)"
" ""AL'YANSSTROY""","('Almaz-Antey ', 69.22799422799423)","('Almaz-Antey Corp', 65.97222222222221)","('Narodny Soyuz', 65.96459096459097)","('Bank Rossiya', 65.27777777777779)","('Battalion Gvardeysky', 62.22222222222222)"
NET BAY NET HOLDING ,"('Industrialny Sberegatelny Bank', 66.6812865497076)","('Smert Battalion', 66.4327485380117)","(""Resort 'Nizhnyaya Oreanda'"", 65.4344193817878)","('Death Battalion', 64.95481127060074)","(""'Federal State of Novorossiya'"", 63.92423366107577)"
" ""Media Solutions""","('Somali Battalion', 71.60353535353536)","('Kalmius Battalion', 70.25549613784906)","('Peace To Luhansk Region', 67.65920070267897)","('Death Battalion', 65.92592592592594)","('Smert Battalion', 64.44444444444444)"
Sisies-Auto Transport Plus ,"('Tactical Missiles Corporation ', 70.29619805481873)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 69.72587033562644)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 66.44370122630993)","('Smert Battalion', 66.06837606837607)","('Russian Direct Investment Fund', 65.2991452991453)"
"MUP ""BCS""","('P UAC', 70.71428571428572)","('P USC', 70.71428571428572)","('P SOVCOMBANK', 64.36507936507937)","('Kalmius Battalion', 60.280112044817926)","(""International Union of Public Associations 'Great Don Army'"", 59.85797827903091)"
 Gazprom Mezhregiongaz,"(""P 'Chernomorneftegaz'"", 65.8312447786132)","("" 'Lenpromtransproyekt'"", 60.08354218880535)","('Stroygazmontazh Corporation (SGM Group)', 59.94650112297171)","(' TPE', 58.730158730158735)","('Prizrak Brigade', 58.0952380952381)"
 Infosystem ,"('Rostec', 68.88888888888887)","(""State Unitary Enterprise of the Crimean Republic 'Crimean Sea Ports'"", 61.717171717171716)","(""State Unitary Enterprise of the 'Republic of Crimea' 'Sparkling Wine Plant Novy Svet'"", 60.781893004115226)","(""State Unitary Enterprise of the 'Republic of Crimea' National Institute of Wine 'Magarach'"", 60.542635658914726)","(""State Unitary Enterprise of the 'Republic of Crimea Production-Agrarian Union Massandra'"", 60.542635658914726)"
" ""Unified Electronic Trading","(' ""United Shipbuilding Corporation""', 82.21182043762688)","(' ""United Aircraft Corporation""', 68.86839606137852)","('United Aircraft Corporation', 68.86839606137852)","('P United Shipbuilding Corporation', 68.6091686091686)","('Russian Direct Investment Fund', 68.27710301394512)"
 Shtantaev Imanali Magomedovich,"('Cossack National Guard', 68.28282828282828)","('Z Interavtomatika (IA)', 67.36111111111111)","('Russian National Commercial Bank', 65.84325396825396)","(""C 'Interavtomatika'"", 65.57566616390146)","(""State enterprise 'Universal-Avia'"", 64.34823618185247)"
" ""ASG Records Management""","(""P 'Chernomorneftegaz'"", 69.58304853041696)","('Concern Almaz-Antey', 67.20209614946457)","('First Crimean Insurance Company', 64.36339198435974)","('Industrialny Sberegatelny Bank', 64.25430778371955)","('Almaz-Antey Defense Corporation', 63.64498878730377)"
" ""Relayter""","('Dobrolyot', 64.81481481481481)","('Industrialny Sberegatelny Bank', 63.05555555555556)","('Peace To Luhansk Region', 61.47342995169082)","('Federal State Budgetary Enterprise \'Sanatorium ""Nizhnyaya Oreanda""\' of the Administration of the President of the Russian Federation', 60.416666666666664)","(""Federal State Budgetary Enterprise 'Production-Agrarian Union 'Massandra' of the Administration of the President of the Russian Federation"", 60.30864197530864)"
" ""Comprehensive Solutions""","('C VAD Aktsionernoe Obshchestvo VAD', 64.10438571563891)","('Peace To Luhansk Region', 63.47826086956522)","(""People's Union"", 63.34462638810465)","(""'Federal State of Novorossiya'"", 63.069358178053825)","(""'Federativnoye Gosudarstvo Novorossiya'"", 62.673543108325724)"
" ""Kolkiper Ru""","(' TPE', 61.61616161616161)","('P Sberbank of Russia', 61.45021645021645)","('Donetsk Republic', 59.60497835497836)","("" 'VO TPE'"", 59.09090909090909)","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 58.61148801447309)"
" ""EYCHPI INC""","('Death Battalion', 61.11111111111111)","(""Gosudarstvenoye predpriyatiye Agrofirma 'Magarach' nacionalnogo instituta vinograda i vina 'Magarach'"", 60.103092783505154)","('State Corporation for the Promotion of the Development, Manufacture and Export of High Technology Products ""Rostec""', 58.60449735449736)","(""State Unitary Enterprise of the 'Republic of Crimea' 'Sparkling Wine Plant Novy Svet'"", 57.4485596707819)","(""State Unitary Enterprise of the 'Republic of Crimea' National Institute of Wine 'Magarach'"", 57.20930232558139)"
" ""ILSA.RU""","('Industrial Savings Bank', 67.28778467908903)","('Industrialny Sberegatelny Bank', 64.92063492063492)","('Mir Luganschine', 64.12698412698413)","('Fedosia Oil Products Supply Company', 63.8095238095238)","('IS Bank', 63.095238095238095)"
" ""Arm-Service""","('Rostec', 67.67676767676768)","('First Crimean Insurance Company', 64.38905180840665)","('Russian Direct Investment Fund', 61.41414141414141)","('Army of the Southeast', 60.8946608946609)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 60.882740447957836)"
"ANO DPO ""Training Center"" Maeb ""","('Industrialny Sberegatelny Bank', 68.96825396825396)","('Russian Direct Investment Fund', 66.03174603174602)","('Russian National Commercial Bank', 65.92261904761905)","('The Great Don Army', 65.63492063492063)","('Z Interautomatica', 65.54621848739495)"
" ""Dublgis""","('Mir Luganschine', 61.58730158730159)","('Industrialny Sberegatelny Bank', 60.15873015873016)","('Dobrolet', 60.11904761904761)","(' ""United Shipbuilding Corporation""', 59.907834101382484)","('Dobrolyot', 58.730158730158735)"
" ""Veshova""","('Vneshekonombank', 77.71428571428571)","(""Resort 'Nizhnyaya Oreanda'"", 57.420634920634924)","('Sovkombank', 57.38095238095239)","('Free Donbas', 56.709956709956714)","('Movement ""Novorossiya"" of Igor Strelkov', 56.199056199056194)"
 Mironov Innokentiy Aleksandrovich,"(' Integral', 64.8088023088023)","('Integral', 64.8088023088023)","('Movement Novorossiya of Ignor Strelkov', 64.73950026581606)","('Movement ""Novorossiya"" of Igor Strelkov', 64.24289902550773)","('C VAD Aktsionernoe Obshchestvo VAD', 63.48781937017232)"
"MUP ""Vidnovskoe PTO GC""","(' ""United Shipbuilding Corporation""', 63.434459805427544)","("" 'Mostotrest'"", 62.857142857142854)","('O ""VO TPE""', 62.301587301587304)","('Dobrolet', 62.10317460317461)","('P United Shipbuilding Corporation', 61.80290297937358)"
" Law Company ""Clover""","('Almaz-Antey Corp', 69.10612535612536)","(""' 'Sparkling Wine Plant Novy Svet'"", 62.910052910052904)","(' Almaz-Antey Corporation', 62.88244766505636)","('Peace To Luhansk Region', 61.83574879227053)","('Black Sea Bank of Development and Reconstruction', 60.416666666666664)"
" ""ATS Kiev""","('Otkritie', 66.66666666666666)","('Aktsionernoe Obshchestvo Genbank', 62.5)","('Bank Rossiya', 61.38888888888889)","(""Azovsky likerovodochny zavod'"", 61.30952380952381)","('Russian Direct Investment Fund', 60.75396825396826)"
" ""NTV-PLUS""","('VTB Bank (Public )', 66.11111111111111)","(' TPE', 63.888888888888886)","("" 'VO TPE'"", 63.888888888888886)","('Peace To Luhansk Region', 61.47342995169082)","('Donetsk Republic', 59.72222222222222)"
" ""EMGIKOM""","('Vneshekonombank', 61.269841269841265)","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 59.334280976072016)","(""State Unitary Enterprise of the Crimean Republic 'Crimean Sea Ports'"", 54.40115440115439)","(""State Unitary Enterprise of the 'Republic of Crimea' National Institute of Wine 'Magarach'"", 53.9313399778516)","(""State Unitary Enterprise of the 'Republic of Crimea Production-Agrarian Union Massandra'"", 53.9313399778516)"
" ""IMATA""","(' Integral', 65.83333333333333)","('Integral', 65.83333333333333)","('Somali Battalion', 63.75000000000001)","(' \'Foreign Economic Association\' ""Technopromexport""', 63.70370370370371)","("" 'Foreign Economic Association' 'Technopromexport'"", 63.70370370370371)"
 Marinych N.N.,"('Mir Luganschine', 67.22222222222221)","(""' 'Sparkling Wine Plant Novy Svet'"", 64.44444444444444)","(""Resort 'Nizhnyaya Oreanda'"", 63.42592592592592)","('Concern Almaz-Antey', 61.25730994152047)","('UAC', 61.11111111111111)"
" ""GETRESPONS RUS""","('Free Donbass', 66.26984126984127)","('P Sberbank of Russia', 65.73593073593074)","('Donetsk Republic', 64.64285714285715)","(""State enterprise 'Universal-Avia'"", 63.69687660010241)","(' TPE', 62.698412698412696)"
